format,impl,op,ns_per_elem,elems_per_s,rel_time,agree,n,reps,seconds
fp32,cpu-hw,fma,0.1105,9046759746,0.001,64,64,1048576,0.0074
fp32,libcft,div,2011.7656,497076,1.000,64,64,2417,0.3112
fp32,mpfr,div,10.1269,98747195,0.005,64,64,481300,0.3119
fp32,mpfr+754,div,24.6148,40625948,0.012,64,64,202660,0.3193
fp32,cpu-hw,div,0.0832,12022369016,0.000,64,64,4194304,0.0223
fp32,libcft,sqrt,2468.4952,405105,1.000,64,64,1962,0.3100
fp32,mpfr,sqrt,8.3064,120389472,0.003,64,64,588080,0.3126
fp32,mpfr+754,sqrt,25.0774,39876591,0.010,64,64,198358,0.3184
fp32,cpu-hw,sqrt,0.1518,6588343198,0.000,64,64,1048576,0.0102
fp32,libcft,add,135.9462,7355852,1.000,256,256,8909,0.3101
fp32,mpfr,add,7.2688,137575146,0.053,256,256,160181,0.2981
fp32,mpfr+754,add,20.3209,49210528,0.149,256,256,61809,0.3215
fp32,cpu-hw,add,0.0613,16320249018,0.000,256,256,4194304,0.0658
fp32,libcft,mul,107.4183,9309397,1.000,256,256,11619,0.3195
fp32,mpfr,mul,8.8392,113132854,0.082,256,256,137783,0.3118
fp32,mpfr+754,mul,21.5094,46491255,0.200,256,256,56146,0.3092
fp32,cpu-hw,mul,0.0634,15764819030,0.001,256,256,4194304,0.0681
fp32,libcft,fma,113.9678,8774407,1.000,256,256,10685,0.3117
fp32,mpfr,fma,17.6907,56526746,0.155,256,256,65679,0.2974
fp32,mpfr+754,fma,33.7379,29640238,0.296,256,256,35765,0.3089
fp32,cpu-hw,fma,0.0874,11436411724,0.001,256,256,4194304,0.0939
fp32,libcft,div,1992.1179,501978,1.000,256,256,617,0.3147
fp32,mpfr,div,12.8191,78008718,0.006,256,256,94794,0.3111
fp32,mpfr+754,div,26.1855,38189084,0.013,256,256,46497,0.3117
fp32,cpu-hw,div,0.0757,13206344309,0.000,256,256,4194304,0.0813
fp32,libcft,sqrt,2443.2879,409285,1.000,256,256,492,0.3077
fp32,mpfr,sqrt,8.4230,118721906,0.003,256,256,132905,0.2866
fp32,mpfr+754,sqrt,27.3761,36528183,0.011,256,256,44164,0.3095
fp32,cpu-hw,sqrt,0.1520,6577486744,0.000,256,256,4194304,0.1632
fp32,libcft,add,137.1664,7290415,1.000,1024,1024,2175,0.3055
fp32,mpfr,add,8.5101,117507586,0.062,1024,1024,34715,0.3025
fp32,mpfr+754,add,23.3347,42854647,0.170,1024,1024,13080,0.3125
