format,impl,op,ns_per_elem,elems_per_s,rel_time,agree,n,reps,seconds
fp32,cpu-hw,fma,1.8113,552094048,0.007,64,64,2704462,0.3135
fp32,libcft,div,4936.0178,202592,1.000,64,64,991,0.3131
fp32,mpfr,div,12.6326,79160540,0.003,64,64,386181,0.3122
fp32,mpfr+754,div,19.9745,50063814,0.004,64,64,244433,0.3125
fp32,cpu-hw,div,0.6998,1428936258,0.000,64,64,6920228,0.3099
fp32,libcft,sqrt,5806.0216,172235,1.000,64,64,839,0.3118
fp32,mpfr,sqrt,12.7452,78461070,0.002,64,64,384141,0.3133
fp32,mpfr+754,sqrt,18.6648,53576818,0.003,64,64,262144,0.3131
fp32,cpu-hw,sqrt,1.1427,875130090,0.000,64,64,4260007,0.3115
fp32,libcft,add,297.7362,3358678,1.000,256,256,4022,0.3066
fp32,mpfr,add,10.7006,93453008,0.036,256,256,113702,0.3115
fp32,mpfr+754,add,16.7910,59555865,0.056,256,256,71337,0.3066
fp32,cpu-hw,add,0.4493,2225901904,0.002,256,256,2722416,0.3131
fp32,libcft,mul,230.4485,4339364,1.000,256,256,5305,0.3130
fp32,mpfr,mul,8.7181,114704547,0.038,256,256,140565,0.3137
fp32,mpfr+754,mul,16.6900,59915956,0.072,256,256,72932,0.3116
fp32,cpu-hw,mul,0.4637,2156341239,0.002,256,256,2636296,0.3130
fp32,libcft,fma,262.8348,3804671,1.000,256,256,4096,0.2756
fp32,mpfr,fma,23.2466,43017021,0.088,256,256,52145,0.3103
fp32,mpfr+754,fma,31.0952,32159294,0.118,256,256,39109,0.3113
fp32,cpu-hw,fma,1.7071,585779166,0.006,256,256,714830,0.3124
fp32,libcft,div,4711.4337,212250,1.000,256,256,260,0.3136
fp32,mpfr,div,14.4476,69215545,0.003,256,256,84586,0.3128
fp32,mpfr+754,div,23.3460,42833976,0.005,256,256,52406,0.3132
fp32,cpu-hw,div,0.7004,1427759730,0.000,256,256,1749727,0.3137
fp32,libcft,sqrt,5511.5889,181436,1.000,256,256,221,0.3118
fp32,mpfr,sqrt,14.6998,68028147,0.003,256,256,82809,0.3116
fp32,mpfr+754,sqrt,22.5077,44429238,0.004,256,256,54114,0.3118
fp32,cpu-hw,sqrt,1.1430,874895161,0.000,256,256,1069557,0.3130
fp32,libcft,add,299.4415,3339550,1.000,1024,1024,916,0.2809
fp32,mpfr,add,13.2677,75371206,0.044,1024,1024,22537,0.3062
fp32,mpfr+754,add,23.5537,42456110,0.079,1024,1024,12851,0.3100
fp32,cpu-hw,add,0.5666,1764982443,0.002,1024,1024,540625,0.3137
fp32,libcft,mul,231.9416,4311430,1.000,1024,1024,1318,0.3130
fp32,mpfr,mul,11.1227,89905887,0.048,1024,1024,27635,0.3148
fp32,mpfr+754,mul,22.2503,44943272,0.096,1024,1024,13779,0.3139
fp32,cpu-hw,mul,0.4807,2080324661,0.002,1024,1024,635797,0.3130
fp32,libcft,fma,266.8075,3748020,1.000,1024,1024,1151,0.3145
fp32,mpfr,fma,31.5619,31683804,0.118,1024,1024,9451,0.3055
fp32,mpfr+754,fma,39.8842,25072598,0.149,1024,1024,7636,0.3119
fp32,cpu-hw,fma,1.6924,590872684,0.006,1024,1024,181491,0.3145
fp32,libcft,div,5032.5364,198707,1.000,1024,1024,64,0.3298
fp32,mpfr,div,16.9589,58965958,0.003,1024,1024,15831,0.2749
fp32,mpfr+754,div,24.7301,40436577,0.005,1024,1024,12251,0.3102
fp32,cpu-hw,div,0.7063,1415805663,0.000,1024,1024,437350,0.3163
fp32,libcft,sqrt,6021.7187,166066,1.000,1024,1024,57,0.3515
fp32,mpfr,sqrt,17.1103,58444220,0.003,1024,1024,17498,0.3066
fp32,mpfr+754,sqrt,30.4595,32830467,0.005,1024,1024,9923,0.3095
fp32,cpu-hw,sqrt,1.1559,865160294,0.000,1024,1024,262144,0.3103
fp32,libcft,add,299.6825,3336865,1.000,4096,4096,241,0.2958
fp32,mpfr,add,20.4292,48949460,0.068,4096,4096,3696,0.3093
